Title,Company,Location,Date,Description,URL
"Data Analyst","TCS","Chennai","2 days ago","Python, SQL, Excel, and reporting","https://example.com/job1"
"Data Analyst","Infosys","Bangalore","1 day ago","Power BI, SQL Server, dashboards","https://example.com/job2"
"Data Analyst","Wipro","Hyderabad","3 days ago","Tableau, Excel, statistics","https://example.com/job3"
"Data Analyst","Accenture","Pune","5 days ago","Data modeling, SQL, Excel","https://example.com/job4"
"Data Scientist","Google","Bangalore","2 days ago","Deep learning, NLP, Python","https://example.com/job5"
"Data Scientist","IBM","Chennai","1 week ago","AI, ML models, TensorFlow","https://example.com/job6"
"Data Scientist","Google","Chennai","1 week ago","AI, ML models, TensorFlow","https://example.com/job6"
"Data Scientist","Microsoft","Hyderabad","3 days ago","PyTorch, Azure ML, Python","https://example.com/job7"
"Data Scientist","Amazon","Delhi","2 days ago","Predictive modeling, ML pipelines","https://example.com/job8"
"Machine Learning Engineer","OpenAI","Bangalore","4 days ago","LLMs, Transformers, AI research","https://example.com/job9"
"Machine Learning Engineer","NVIDIA","Pune","6 days ago","Deep learning optimization, GPU","https://example.com/job10"
"Machine Learning Engineer","Intel","Hyderabad","2 days ago","Model deployment, ONNX, Python","https://example.com/job11"
"AI Engineer","Apple","Bangalore","3 days ago","Computer Vision, ML models, Swift","https://example.com/job12"
"AI Engineer","Adobe","Noida","5 days ago","Generative AI, diffusion models","https://example.com/job13"
"AI Engineer","Samsung","Delhi","2 weeks ago","NLP, recommender systems, ML","https://example.com/job14"
"Cloud Engineer","AWS","Hyderabad","3 days ago","AWS EC2, S3, Lambda, Terraform","https://example.com/job15"
"Cloud Engineer","Microsoft","Bangalore","2 days ago","Azure DevOps, Kubernetes, Docker","https://example.com/job16"
"Cloud Engineer","Google","Chennai","1 week ago","GCP services, BigQuery, Anthos","https://example.com/job17"
"Cloud Engineer","Oracle","Mumbai","5 days ago","OCI, Cloud networking, CI/CD","https://example.com/job18"
"Cloud Security Specialist","Cisco","Noida","3 days ago","IAM, Security Groups, Cloud Firewall","https://example.com/job19"
"Cloud Security Specialist","Palo Alto","Bangalore","2 days ago","Cloud monitoring, threat detection","https://example.com/job20"
"Software Engineer","Infosys","Chennai","1 day ago","Java, Spring Boot, Microservices","https://example.com/job21"
"Software Engineer","TCS","Bangalore","2 days ago","C++, Data Structures, Algorithms","https://example.com/job22"
"Software Engineer","Accenture","Hyderabad","5 days ago",".NET, ASP.NET, C#","https://example.com/job23"
"Software Engineer","Wipro","Pune","3 days ago","Python, Flask, Django","https://example.com/job24"
"Web Developer","Zoho","Chennai","1 day ago","React.js, Angular, HTML, CSS","https://example.com/job25"
"Web Developer","Freshworks","Bangalore","2 days ago","Vue.js, Bootstrap, PHP","https://example.com/job26"
"Web Developer","Flipkart","Hyderabad","3 days ago","Next.js, Tailwind, APIs","https://example.com/job27"
"Web Developer","Paytm","Delhi","4 days ago","JavaScript, Node.js, UI design","https://example.com/job28"
"Frontend Developer","Adobe","Noida","5 days ago","React.js, UI/UX, Redux","https://example.com/job29"
"Frontend Developer","Microsoft","Hyderabad","3 days ago","Angular, Web Components","https://example.com/job30"
"Backend Developer","Oracle","Bangalore","1 week ago","Java, Spring Boot, REST APIs","https://example.com/job31"
"Backend Developer","Amazon","Chennai","2 days ago","Node.js, Express, MongoDB","https://example.com/job32"
"Backend Developer","Google","Hyderabad","3 days ago","Go, Kubernetes, Microservices","https://example.com/job33"
"Backend Developer","PayPal","Noida","4 days ago","Python, Django, FastAPI","https://example.com/job34"
"Full Stack Developer","Capgemini","Bangalore","5 days ago","MERN stack, cloud deployment","https://example.com/job35"
"Full Stack Developer","HCL","Chennai","6 days ago","React.js, Django, PostgreSQL","https://example.com/job36"
"Full Stack Developer","Tech Mahindra","Hyderabad","3 days ago","Angular, Java Spring Boot","https://example.com/job37"
"Full Stack Developer","Zoho","Pune","2 weeks ago","Node.js, React.js, MongoDB","https://example.com/job38"
"Cybersecurity Analyst","EY","Bangalore","2 days ago","SOC monitoring, penetration testing","https://example.com/job39"
"Cybersecurity Analyst","KPMG","Delhi","1 week ago","Vulnerability assessments, audits","https://example.com/job40"
"Cybersecurity Analyst","Deloitte","Hyderabad","3 days ago","Threat intelligence, compliance","https://example.com/job41"
"Cybersecurity Analyst","PwC","Noida","5 days ago","Risk assessment, incident response","https://example.com/job42"
"Network Engineer","Cisco","Chennai","2 days ago","Routing, Switching, Firewalls","https://example.com/job43"
"Network Engineer","Juniper","Bangalore","3 days ago","SDN, Network Security, VPN","https://example.com/job44"
"Network Engineer","Airtel","Delhi","4 days ago","Network troubleshooting, VoIP","https://example.com/job45"
"Network Engineer","Reliance Jio","Mumbai","6 days ago","Core network operations, routers","https://example.com/job46"
"Business Analyst","Cognizant","Pune","5 days ago","Agile, Scrum, SQL reporting","https://example.com/job47"
"Business Analyst","Infosys","Chennai","4 days ago","Process mapping, client coordination","https://example.com/job48"
"Business Analyst","Accenture","Bangalore","3 days ago","Requirement gathering, documentation","https://example.com/job49"
"Business Analyst","HCL","Noida","2 days ago","Business workflows, dashboards","https://example.com/job50"
"DevOps Engineer","Red Hat","Hyderabad","2 days ago","CI/CD, Jenkins, Kubernetes, Ansible","https://example.com/job51"
"DevOps Engineer","VMware","Bangalore","3 days ago","Cloud automation, Terraform, Docker","https://example.com/job52"
"DevOps Engineer","Google","Pune","4 days ago","GCP DevOps pipelines, Cloud Run","https://example.com/job53"
"DevOps Engineer","Amazon","Chennai","5 days ago","AWS DevOps Engineer role","https://example.com/job54"
"Mobile App Developer","Paytm","Noida","3 days ago","Android, Kotlin, Jetpack Compose","https://example.com/job55"
"Mobile App Developer","Flipkart","Bangalore","2 days ago","React Native, iOS/Android apps","https://example.com/job56"
"Mobile App Developer","Swiggy","Hyderabad","5 days ago","Flutter, Firebase, APIs","https://example.com/job57"
"Mobile App Developer","Zomato","Delhi","6 days ago","iOS Swift, CoreData, UX design","https://example.com/job58"
"UI/UX Designer","Adobe","Bangalore","2 days ago","Figma, Adobe XD, user research","https://example.com/job59"
"UI/UX Designer","Zoho","Chennai","3 days ago","Prototyping, UI improvements, design systems","https://example.com/job60"
"UI/UX Designer","Microsoft","Hyderabad","5 days ago","Wireframes, usability testing","https://example.com/job61"
"UI/UX Designer","Freshworks","Pune","6 days ago","UX audits, interaction design","https://example.com/job62"
"Project Manager","TCS","Bangalore","1 week ago","Agile, Scrum Master, stakeholder management","https://example.com/job63"
"Project Manager","Infosys","Chennai","2 weeks ago","Waterfall + Agile, project planning","https://example.com/job64"
"Project Manager","Wipro","Hyderabad","3 days ago","Risk management, project delivery","https://example.com/job65"
"Project Manager","Accenture","Delhi","4 days ago","Client-facing, agile frameworks","https://example.com/job66"
"Database Administrator","Oracle","Hyderabad","2 days ago","SQL, PL/SQL, Database tuning","https://example.com/job67"
"Database Administrator","IBM","Pune","4 days ago","DB2, SQL Server, backups","https://example.com/job68"
"Database Administrator","HCL","Noida","5 days ago","Oracle DB, PostgreSQL, replication","https://example.com/job69"
"Database Administrator","Microsoft","Bangalore","1 week ago","SQL Azure, Cloud DBs","https://example.com/job70"
"Blockchain Developer","Polygon","Bangalore","3 days ago","Solidity, Ethereum, smart contracts","https://example.com/job71"
"Blockchain Developer","WazirX","Hyderabad","2 days ago","Web3, dApps, Solidity","https://example.com/job72"
"Blockchain Developer","CoinDCX","Mumbai","5 days ago","Crypto apps, smart contracts","https://example.com/job73"
"Blockchain Developer","Accenture","Pune","1 week ago","Enterprise blockchain, Hyperledger","https://example.com/job74"
